date,ticker,open,volume,marketcap
2021-07-26 16:17:42.469002,BTCUSD,8000.0086074704295,330478.1149426528,191608753.25892714
2021-07-26 16:17:42.469002,ETHUSD,1923.08563808671,240948.5719842787,212359792.1487177
2021-07-26 16:17:42.469002,XRPUSD,5333.514988287748,730589.3466271546,944294872.167461
2021-07-26 16:17:42.469002,LTCUSD,4486.5681208939295,516401.1152989091,556106491.4494932
2021-07-26 16:17:42.469002,ADAUSD,6097.148079269622,765668.062558633,200201517.512665
2021-07-26 16:17:42.469002,BNBUSD,2179.183572189688,905680.7898069735,369984593.9651461
2021-07-26 16:17:42.469002,DOGEUSD,3575.992375630781,647790.3260252199,649741041.5517089
2021-07-26 16:17:42.469002,LINKUSD,3089.982907907733,381655.37650873937,197300194.77077922
2021-07-26 16:17:42.469002,XLMUSD,7837.446985555564,434582.9890919678,273822517.1112019
2021-07-26 16:17:42.469002,TRXUSD,4992.004952687151,435917.49661759497,649255240.0828179
2021-07-26 16:17:42.469002,EOSUSD,2517.726997491612,81297.0583198284,568373408.4623435
2021-07-26 16:17:42.469002,BCHUSD,7651.951132418216,656000.9177802714,470389328.00217015
2021-07-26 16:17:42.469002,ETCUSD,9156.751102253249,692056.1973902606,578605967.2960681
2021-07-26 16:17:42.469002,VETUSD,5707.3224341302985,282515.84207499167,835101967.1924844
2021-07-26 16:17:42.469002,DASHUSD,7729.368455704587,767475.1919301186,206158374.61769012
2021-07-26 16:17:42.469002,NEOUSD,5539.695814832378,688151.4938827916,931132614.2454916
2021-07-26 16:17:42.469002,XTZUSD,9508.43659668641,43681.77178799444,96555163.26342958
2021-07-26 16:17:42.469002,ATOMUSD,1187.2402241710618,486802.18428958964,527227927.23685914
2021-07-26 16:17:42.469002,MKRUSD,9002.858615002988,893690.3396315494,909777982.5724133
2021-07-26 16:17:42.469002,ONTUSD,3668.246770085308,128793.93182041672,127531912.81739444
2021-07-26 16:17:42.469002,LEOUSD,2539.1556424244136,782165.1539131413,960487582.553504
2021-07-26 16:17:42.469002,ICXUSD,5878.446023756447,834349.0809275932,897635079.3025644
2021-07-26 16:17:42.469002,BATUSD,2445.947695652726,1738.501286814666,651176571.024687
2021-07-26 16:17:42.469002,ZECUSD,759.6101110391655,122752.29256351803,519105685.4529595
2021-07-26 16:17:42.469002,WAVESUSD,3744.1758500419764,769041.5321317482,929841744.7777554
2021-07-26 16:17:42.469002,ZRXUSD,2944.686909253887,429566.3634256091,965909781.28206
2021-07-26 16:17:42.469002,ALGOUSD,3323.7686504572216,733175.2509168183,996235624.4671509
2021-07-26 16:17:42.469002,COMPUSD,5593.806740464765,879634.7761366707,175569764.4303878
2021-07-26 16:17:42.469002,OMGUSD,7760.130692442129,640542.9428056688,365456175.79426664
2021-07-26 16:17:42.469002,KNCUSD,2992.3169855448377,29300.747889323782,608399833.0731089
2021-07-27 16:17:42.469002,BTCUSD,2364.5894579368014,188976.0790281033,133747056.27761704
2021-07-27 16:17:42.469002,ETHUSD,6247.914731087162,746163.3218406568,671918793.2560575
2021-07-27 16:17:42.469002,XRPUSD,1926.9300197595264,209041.78583545107,718076771.7117343
2021-07-27 16:17:42.469002,LTCUSD,7690.503388809147,490517.21909125533,128896116.27612443
2021-07-27 16:17:42.469002,ADAUSD,6186.8484819508385,948515.8422851536,902994145.1420238
2021-07-27 16:17:42.469002,BNBUSD,8306.083691763373,569480.7886906671,716149159.2399976
2021-07-27 16:17:42.469002,DOGEUSD,4693.805839839321,987838.0874703056,282049545.1138875
2021-07-27 16:17:42.469002,LINKUSD,4044.838318181507,897888.3010873375,417764420.703765
2021-07-27 16:17:42.469002,XLMUSD,9416.063809538218,592067.8906140766,12551368.008498283
2021-07-27 16:17:42.469002,TRXUSD,6994.794362777379,418487.0757615984,722363056.3452522
2021-07-27 16:17:42.469002,EOSUSD,7081.411418537294,192334.1358496452,296323331.2547243
2021-07-27 16:17:42.469002,BCHUSD,5759.17720415998,19049.893845603445,652960647.3342946
2021-07-27 16:17:42.469002,ETCUSD,8793.497978191059,246601.89364581165,199604410.40649787
2021-07-27 16:17:42.469002,VETUSD,6793.987933785397,550594.1267941425,645149679.6811798
2021-07-27 16:17:42.469002,DASHUSD,7636.280109570498,373700.6332499559,412353174.7974021
2021-07-27 16:17:42.469002,NEOUSD,8911.09294179255,469848.71132896736,521234580.0650832
